legacy_state,legacy_url,full_url,template,controller,auth_scope,module_file,modern_route,modern_component,status,notes
Root.WithOrg.Client.Events.Report,/Report,/:organizationName/Events/Report,app/events/event-report-list/event-report-list.html,eventReportListController,unspecified,src/webapp/src/client/app/events/events.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/events/events.module.js:82
Root.WithOrg.Client.Events.Report.Event,/Report/Event/:id,/:organizationName/Events/Report/Report/Event/:id,app/events/event-report-list/event-report/event-report.html,eventReportController,unspecified,src/webapp/src/client/app/events/events.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/events/events.module.js:88
Root.WithOrg.Client.Kudos,/Kudos,/:organizationName/Kudos,app/kudos/kudos.html,KudosController,unspecified,src/webapp/src/client/app/kudos/kudos.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/kudos/kudos.module.js:29
Root.WithOrg.Client.Kudos.KudosAchievementBoard,/KudosAchievementBoard,/:organizationName/Kudos/KudosAchievementBoard,app/kudos/achievement-board/achievement-board.html,KudosAchievementBoard,unspecified,src/webapp/src/client/app/kudos/kudos.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/kudos/kudos.module.js:36
Root.WithOrg.Client.Kudos.KudosLogList,/KudosLogList/:userId?,/:organizationName/Kudos/KudosLogList/:userId?,app/kudos/log-list/log-list.html,kudosLogListController,unspecified,src/webapp/src/client/app/kudos/kudos.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/kudos/kudos.module.js:48
Root.WithOrg.Client.Kudos.KudosUserInformation,/KudosUserInformation/:userId?,/:organizationName/Kudos/KudosUserInformation/:userId?,app/kudos/user-information/user-information.html,KudosUserInformationController,unspecified,src/webapp/src/client/app/kudos/kudos.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/kudos/kudos.module.js:42
Root.WithOrg.Client.Office,/Office?floorId&roomId&coords&user,/:organizationName/Office?floorId&roomId&coords&user,app/office/office.html,officeController,unspecified,src/webapp/src/client/app/office/office.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/office/office.module.js:14
Root.WithOrg.Client.OrganizationalStructure,/OrganizationalStructure,/:organizationName/OrganizationalStructure,app/organizational-structure/organizational-structure.html,organizationalStructureController,unspecified,src/webapp/src/client/app/organizational-structure/organizational-structure.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/organizational-structure/organizational-structure.module.js:23
Root.WithOrg.Client.Profiles,/Profiles,/:organizationName/Profiles,,,unspecified,src/webapp/src/client/app/profile/profile.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/profile/profile.module.js:19
Root.WithOrg.Client.Profiles.Details,/:id,/:organizationName/Profiles/:id,app/profile/profile-details/profile-details.html,profilesDetailsController,unspecified,src/webapp/src/client/app/profile/profile.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/profile/profile.module.js:28
Root.WithOrg.Client.Profiles.Edit,/:id/Edit/:tab,/:organizationName/Profiles/:id/Edit/:tab,app/profile/profile-edit/profile-edit.html,profileEditController,unspecified,src/webapp/src/client/app/profile/profile.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/profile/profile.module.js:45
Root.WithOrg.Client.Profiles.List,,/:organizationName/Profiles,,,unspecified,src/webapp/src/client/app/profile/profile.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/profile/profile.module.js:24
Root.WithOrg.Client.Projects,/Projects,/:organizationName/Projects,,,unspecified,src/webapp/src/client/app/project/project.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/project/project.module.js:16
